District ID;Electoral district ;Delegation;Actively registred ;Eligible voters;Ratio
111;Tunis 1;Medina;13489;23761;56,77
111;Tunis 1;Bab Bhar;19692;150506;13,08
111;Tunis 1;Bab souika;14348;18120;79,18
111;Tunis 1;Sijoumi;6489;25713;25,24
111;Tunis 1;Ezzouhour;17003;29122;58,39
111;Tunis 1;Hrairia;35903;67747;53
111;Tunis 1;Sidi Hassine;29093;50993;57,05
111;Tunis 1;EI Ouardia;14328;27637;51,84
111;Tunis 1; Kabaria;28166;57182;49,26
111;Tunis 1;Sidi EI Bechir;12720;19374;65,66
111;Tunis 1;JbeI JeIIoud;10429;18618;56,02
112;Tunis 2;Carthage;17749;26804;66,22
112;Tunis 2;Omrane;15400;32971;46,71
112;Tunis 2;Omrane Superieur;24732;45512;54,34
112;Tunis 2;El Tahrir;10601;16689;63,52
112;Tunis 2;EI Menzah;25391;34905;72,74
112;Tunis 2;Cite EI Khadra;16370;23339;70,14
112;Tunis 2;Bardo;36748;61780;59,48
112;Tunis 2;La GouIette;18270;28758;63,53
112;Tunis 2;Le Kram;25162;41516;60,61
112;Tunis 2;La Marsa;42640;66352;64,26
120;Ariana;Ariana Medina;62733;105274;59,59
120;Ariana;Soukra;41061;69223;59,32
120;Ariana;Raouad;32912;54681;60,19
120;Ariana;"Kalaat El Andalous 
";7659;14197;53,95
120;Ariana;Sidi Thabet;7643;16029;47,68
120;Ariana;Ettadhamen;30036;59123;50,8
120;Ariana; Mnihla;22725;41992;54,12
130;Ben Arous;Ben Arous;15850;74775;21,2
130;Ben Arous;Nouvelle Medina;22313;35196;63,4
130;Ben Arous;El Mourouj;37608;50562;74,38
130;Ben Arous;Hammam lif;18586;33442;55,58
130;Ben Arous;Hammam chott;14260;19658;72,54
130;Ben Arous;Boumhel;14409;21720;66,34
130;Ben Arous;Ezzahra;16330;26004;62,8
130;Ben Arous;Rades;22261;36475;61,03
130;Ben Arous;Megrine;14459;23439;61,69
130;Ben Arous;Mhamdia;19979;35377;56,47
130;Ben Arous;Fouchana;24705;39035;63,29
130;Ben Arous;Mornag;21866;42527;51,42
140;Manouba;Manouba;31883;63342;50,33
140;Manouba;Douar Hicher;25875;46663;55,45
140;Manouba;Oued Ellil;23794;42130;56,48
140;Manouba;Mornaguia;15392;26412;58,28
140;Manouba;Borj El Amri;7253;13594;53,35
140;Manouba;Jedaida;16787;28295;59,33
140;Manouba;Tebourba;16189;35090;46,14
140;Manouba;El Battane;6735;11806;57,05
