;Electoral district ;BB in Actively registered PS; ratio of national  BB in Avtively registered PS;BB in Automatically registered PS; ratio of national  BB in Automatically registered PS;Total number of BB;ratio of national BB;;;;
111;Tunis 1;3349;4,04;676;4;4025;1,86;;;;
112;Tunis 2;2679;3,23;564;3,34;3243;1,4;;;;
120;Ariana;3254;3,92;931;5,51;4185;2,03;;;;
130;Ben Arous;3377;4,07;636;3,76;4015;1,64;;;;
140;Manouba;3826;4,61;628;3,72;4454;3,16;;;;
151;Nabeul 1;3302;3,98;840;4,97;4142;2,29;;;;BB: Blank Ballot
152;Nabeul 2;3005;3,62;624;3,69;3629;2,71;;;;PS: Polling Station 
160;Zaghouan;1763;2,13;365;2,16;2128;3,2;;;;
170;Bizerte;3882;4,68;878;5,2;4760;2,26;;;;
210;Beja;4224;5,09;830;4,91;5054;4,49;;;;
220;Jendouba;5924;7,14;1037;6,14;6961;5,17;;;;
230;Kef;2956;3,56;442;2,62;3398;3,58;;;;
240;Siliana;2166;2,61;534;3,16;2700;3,45;;;;
310;Sousse;3570;4,3;966;5,72;4536;1,79;;;;
320;Monastir;2769;3,34;591;3,5;3360;1,59;;;;
330;Mahdia;2987;3,6;995;5,89;3982;2,83;;;;
341;Sfax 1;2708;3,27;423;2,5;3131;1,98;;;;
342;Sfax 2;2898;3,49;425;2,52;3323;1,48;;;;
410;Kairouan;5121;6,17;1206;7,14;6327;3,52;;;;
420;Kasserine;4009;4,83;676;4;4685;3,31;;;;
430;Sidi bouzid;3616;4,36;619;3,66;4235;3,05;;;;
510;Gabes;2898;3,49;377;2,23;3275;2,24;;;;
520;Medenine;2172;2,62;375;2,22;2547;1,59;;;;
530;Tataouine;910;1,1;165;0,98;1075;2,4;;;;
610;Gafsa;1730;2,09;721;4,27;2451;1,93;;;;
620;Tozeur;1030;1,24;106;0,63;1136;2,44;;;;
630;Kebili;1223;1,47;268;1,59;1491;2,08;;;;
;France1;353;0,43;0;0;353;0,52;;;;
;France2;517;0,62;0;0;517;0,92;;;;
;Italie;104;0,13;0;0;104;0,43;;;;
;Allemagne;53;0,06;0;0;53;0,39;;;;
;Amerique;301;0,36;0;0;301;1,06;;;;
;Monde arabe;260;0,31;0;0;260;1,32;;;;
;Total;82936;2,23;16898;2,87;99836;2,32;;;;
