District ID;Electoral district ; SB in Actively registered PS; ratio of national  SB in Avtively registered PS;SB in Automatically registered PS; ration of  national SB in automatically registered PS;Total number of SB ;ratio of national SB;;;
111;Tunis 1;5830;4,65;1128;4,14;6958;3,22;;;
112;Tunis 2;3987;3,18;794;2,91;4781;2,06;;;
120;Ariana;3778;3,01;1130;4,15;4908;2,38;;;
130;Ben Arous;4712;3,76;1093;4,01;5805;2,37;;;SB: Spoilt Ballots 
140;Manouba;4097;3,27;789;2,9;4886;3,47;;;PS: Polling Station
151;Nabeul 1;5056;4,03;1481;5,44;6537;3,61;;;
152;Nabeul 2;4324;3,45;886;3,25;5210;3,89;;;
160;Zaghouan;2616;2,09;429;1,57;3045;4,58;;;
170;Bizerte;7384;5,89;1849;6,79;9233;4,38;;;
210;Beja;6763;5,4;1567;5,75;8330;7,4;;;
220;Jendouba;8264;6,59;1499;5,5;9763;7,25;;;
230;Kef;4503;3,59;867;3,18;5370;5,66;;;
240;Siliana;3973;3,17;820;3,01;4793;6,13;;;
310;Sousse;5060;4,04;1659;6,09;6719;2,66;;;
320;Monastir;4216;3,36;943;3,46;5159;2,44;;;
330;Mahdia;3986;3,18;1622;5,95;5608;3,99;;;
341;Sfax 1;3806;3,04;614;2,25;4420;2,8;;;
342;Sfax 2;3872;3,09;799;2,93;4671;2,09;;;
410;Kairouan;7752;6,18;1685;6,18;9437;5,25;;;
420;Kasserine;6895;5,5;1107;4,06;8002;5,66;;;
430;Sidi bouzid;6068;4,84;1097;4,03;7165;5,16;;;
510;Gabes;3885;3,1;578;2,12;4463;3,06;;;
520;Medenine;3795;3,03;720;2,64;4515;2,81;;;
530;Tataouine;1332;1,06;310;1,14;1642;3,67;;;
610;Gafsa;2867;2,29;941;3,45;3808;3;;;
620;Tozeur;1289;1,03;241;0,88;1530;3,28;;;
630;Kebili;1950;1,56;599;2,2;2549;3,55;;;
;France1;767;0,61;0;0;767;1,12;;;
;France2;1532;1,22;0;0;1532;2,72;;;
;Italie;405;0,32;0;0;405;1,68;;;
;Allemagne;144;0,11;0;0;144;1,07;;;
;Amerique;342;0,27;0;0;342;1,2;;;
;Monde arabe;90;0,07;0;0;90;0,46;;;
;Total;125340;3,37;27247;4,62;152587;3,54;;;
