District code;Electoral district ;Actively  registered;Automatically registered;Total  votes ;Ratio of national votes ;
111;Tunis 1;168284;37104;205388;5,07;
112;Tunis 2;198573;25675;224248;5,53;
120;Ariana;169436;27558;196994;4,86;
130;Ben Arous;207911;27060;234971;5,8;
140;Manouba;117122;14298;131420;3,24;
151;Nabeul 1;145428;25075;170503;4,21;
152;Nabeul 2;111414;13741;125155;3,09;
160;Zaghouan;51370;9941;61311;1,51;
170;Bizerte;164894;31676;196570;4,85;
210;Beja;83986;15271;99257;2,45;
220;Jendouba;99790;18229;118019;2,91;
230;Kef;75609;10530;86139;2,12;
240;Siliana;60207;10517;70724;1,74;
310;Sousse;202062;39493;241555;5,96;
320;Monastir;175910;26792;202702;5;
330;Mahdia;103267;27798;131065;3,23;
341;Sfax 1;136825;13468;150293;3,71;
342;Sfax 2;186845;29002;215847;5,32;
410;Kairouan;139643;24345;163988;4,05;
420;Kasserine;112385;16289;128674;3,17;
430;Sidi Bouzid;113633;13753;127386;3,14;
510;Gabes;124762;13477;138239;3,41;
520;Medenine;128753;24852;153605;3,79;
530;Tataouine;34358;7667;42025;1,04;
610;Gafsa;96853;23722;120575;2,97;
620;Tozeur;37640;6327;43967;1,08;
630;Kebili;56836;10895;67731;1,67;
;France1;67280;0;67280;1,66;
;France2;54315;0;54315;1,34;
;Italie;22819;714;23533;0,58;
;Allemagne;13289;0;13289;0,33;
;Amerique;27728;13;27741;0,68;
;Monde arabe;19396;0;19396;0,48;
;Total;3508623;545282;4053905;100;
