District ID;Electoral District ;Delegation;Actively registred;Voters among actively registered ;percentage ;automatically registred;Voters among automatically registered ;percentage ;Total registred;Total voters;Total percentage
111;Tunis 1;Medina;13489;11783;87;10272;478;5;23761;12261;51,6
111;Tunis 1;Babl Bhar;19692;17779;90;130814;14569;11;150506;32348;21,5
111;Tunis 1;Bab Souika;14348;12339;86;3772;542;14;18120;12881;71,1
111;Tunis 1;Sijoumi;6489;5188;80;19224;2528;13;25713;7716;30
111;Tunis 1;Ezzouhour;17003;15141;89;12119;1838;15;29122;16979;58,3
111;Tunis 1;Hrairia;35903;32397;90;31844;4751;15;67747;37148;54,8
111;Tunis 1;Sidi Hassine;29093;25435;87;21900;2528;12;50993;27963;54,8
111;Tunis 1;El Ouardia;14328;12802;89;13309;2313;17;27637;15115;54,7
111;Tunis 1;Kabaria;28166;25821;92;29016;5582;19;57182;31403;54,9
111;Tunis 1;Sidi El Bechir;12720;10981;86;6654;1109;17;19374;12090;62,4
111;Tunis 1;Jebel Jelloud;10429;9138;88;8189;1329;16;18618;10467;56,2
112;Tunis 2;Carthage;17749;15723;89;9055;1447;16;26804;17170;64,1
112;Tunis 2;Omrane;15400;13588;88;17571;3312;19;32971;16900;51,3
112;Tunis 2; Omrane superieur;24732;21732;88;20780;4067;20;45512;25799;56,7
112;Tunis 2;El tahrir;10601;9388;89;6088;1152;19;16689;10540;63,2
112;Tunis 2;El Menzah;25391;23119;91;9514;1520;16;34905;24639;70,6
112;Tunis 2;Cite El Khadhra;16370;14650;89;6969;1257;18;23339;15907;68,2
112;Tunis 2;Bardo;36748;32469;88;25032;4316;17;61780;36785;59,5
112;Tunis 2;La Goulette;18270;16246;89;10488;1500;14;28758;17746;61,7
112;Tunis 2;Le Kram;25162;22447;89;16354;2758;17;41516;25205;60,7
112;Tunis 2;La Marsa;42640;37830;89;23712;3751;16;66352;41581;62,7
120;Ariana;Ariana medina;62733;56534;90;42541;6947;16;105274;63481;60,3
120;Ariana;Soukra;41061;36082;88;28162;3994;14;69223;40076;57,9
120;Ariana;Raoued;32912;28968;88;21769;3687;17;54681;32655;59,7
120;Ariana;Kalaat El Andalous;7659;6940;91;6538;2122;32;14197;9062;63,8
120;Ariana;Sidi Thabet;7643;6547;86;8386;1534;18;16029;8081;50,4
120;Ariana;Ettadhamen;30036;24894;83;29087;4539;16;59123;29433;49,8
120;Ariana; Mnihla;22725;19577;86;19267;3722;19;41992;23299;55,5
130;Ben Arous;Ben Arous;15850;13831;87;58925;6109;10;74775;19940;26,7
130;Ben Arous;Nouvelle Medina;22313;20305;91;12883;1413;11;35196;21718;61,7
130;Ben Arous;El Mourouj;37608;33813;90;12954;2010;16;50562;35823;70,8
130;Ben Arous;Hammam Lif;18586;16914;91;14856;2178;15;33442;19092;57,1
130;Ben Arous;Hammam Chott;14260;12639;89;5398;895;17;19658;13534;68,8
130;Ben Arous;Boumhel;14409;13127;91;7311;1258;17;21720;14385;66,2
130;Ben Arous;Ezzahra;16330;14520;89;9674;1643;17;26004;16163;62,2
130;Ben Arous;Rades;22261;20200;91;14214;2469;17;36475;22669;62,1
130;Ben Arous;Megrine;14459;12984;90;8980;1447;16;23439;14431;61,6
130;Ben Arous;Mhamdia;19979;18036;90;15398;2374;15;35377;20410;57,7
130;Ben Arous;Fouchana;24705;21958;89;14330;2305;16;39035;24263;62,2
130;Ben Arous;Mornag;21866;19797;91;20661;2566;12;42527;22363;52,6
140;Manouba;Manouba;31883;28186;88;31459;3106;10;63342;31292;49,4
140;Manouba;Douar Hicher;25875;22418;87;20788;2514;12;46663;24932;53,4
140;Manouba;Oued Ellil;23794;21297;90;18336;2147;12;42130;23444;55,6
140;Manouba;Mornaguia;15392;13862;90;11020;1414;13;26412;15276;57,8
140;Manouba;Borj El Amri;7253;6366;88;6341;853;13;13594;7219;53,1
140;Manouba;Jdaida;16787;14616;87;11508;1534;13;28295;16150;57,1
140;Manouba;Tebourba;16189;14086;87;18901;1755;9;35090;15841;45,1
140;Manouba;El Battane;6735;5811;86;5071;795;16;11806;6606;56
151;Nabeul 1;Nabeul;34985;31908;91;54450;5708;10;89435;37616;42,1
151;Nabeul 1;Dar chaabane El Fehri;19575;18080;92;7659;1966;26;27234;20046;73,6
151;Nabeul 1;Beni Khiar;19103;17408;91;7375;1694;23;26478;19102;72,1
151;Nabeul 1;Korba;24250;22113;91;18935;4639;24;43185;26752;61,9
151;Nabeul 1;Menzel Temime;22511;19756;88;21282;3699;17;43793;23455;53,6
151;Nabeul 1;El Mida;9152;8082;88;9326;1578;17;18478;9660;52,3
151;Nabeul 1;Kelibia;22837;19522;85;16494;3291;20;39331;22813;58
