District ID;Electoral district ;Votes in actively registered PS;ratio of total votes of the list in actively registered PS;Votes in automatically registered PS;ratio of total votes of the list in automatically registered PS;Total  votes in the district ;ratio of total votes of the district 
111;Tunis 1;2116;3,11;567;6,65;2683;1,24
112;Tunis 2;5124;7,52;481;5,64;5605;2,41
120;Ariana;4032;5,92;455;5,33;4487;2,18
130;Ben Arous;3982;5,85;432;5,06;4414;1,8
140;Manouba;2558;3,76;287;3,36;2845;2,02
151;Nabeul 1;6273;9,21;900;10,55;7173;3,96
152;Nabeul 2;3016;4,43;326;3,82;3342;2,49
160;Zaghouan;0;0;0;0;0;0
170;Bizerte;3392;4,98;503;5,9;3895;1,85
210;Beja;0;0;0;0;0;0
220;Jendouba;0;0;0;0;0;0
230;Kef;1582;2,32;182;2,13;1764;1,86
240;Siliana;0;0;0;0;0;0
310;Sousse;2723;4;300;3,52;3023;1,2
320;Monastir;4427;6,5;534;6,26;4961;2,35
330;Mahdia;6916;10,15;1180;13,83;8096;5,76
341;Sfax 1;2393;3,51;115;1,35;2508;1,59
342;Sfax 2;4656;6,84;647;7,58;5303;2,37
410;Kairouan;1017;1,49;135;1,58;1152;0,64
420;Kasserine;0;0;0;0;0;0
430;Sidi Bouzid;571;0,84;69;0,81;640;0,46
510;Gabes;1201;1,76;136;1,59;1337;0,92
520;Medenine;7612;11,18;1222;14,33;8834;5,5
530;Tataouine;0;0;0;0;0;0
610;Gafsa;400;0,59;59;0,69;459;0,36
620;Tozeur;0;0;0;0;0;0
630;Kebili;0;0;0;0;0;0
;France1;1371;2,01;0;0;1371;2
;France2;1627;2,39;0;0;1627;2,89
;Italie;0;0;0;0;0;0
;Allemagne;0;0;0;0;0;0
;Amerique;704;1,03;0;0;704;2,48
;Monde arabe;420;0,62;0;0;420;2,13
;Total;68113;1,83;8530;1,45;76643;1,78
