District ID;Electoral district ;Votes in actively registered PS;Ratio of total votes for the list in actively registered PS;Votes in automatically registered PS;Ratio of total votes for the list in automatically Total  votes in the district;Total  votes ;Ratio of total votes of the district
111;Tunis 1;3825;1,55;586;1,74;4411;2,04
112;Tunis 2;1956;0,79;234;0,69;2190;0,94
120;Ariana;3774;1,53;556;1,65;4330;2,1
130;Ben Arous;4118;1,67;436;1,29;4554;1,86
140;Manouba;4722;1,91;588;1,74;5310;3,77
151;Nabeul 1;11479;4,65;1805;5,36;13284;7,33
151;Nabeul 2;6423;2,6;658;1,95;7081;5,28
160;Zaghouan;4775;1,94;786;2,33;5561;8,36
170;Bizerte;8357;3,39;1613;4,79;9970;4,73
210;Beja;7034;2,85;1247;3,7;8281;7,35
220;Jendouba;10472;4,25;1983;5,88;12455;9,24
230;Kef;6234;2,53;717;2,13;6951;7,32
240;Siliana;5401;2,19;828;2,46;6229;7,96
310;Sousse;10679;4,33;1481;4,39;12160;4,81
320;Monastir;6224;2,52;512;1,52;6736;3,19
330;Mahdia;7899;3,2;1808;5,36;9707;6,9
341;Sfax 1;10210;4,14;956;2,84;11166;7,07
342;Sfax 2;16772;6,8;2335;6,93;19107;8,54
410;Kairouan;25953;10,52;4257;12,63;30210;16,81
420;Kasserine;10934;4,43;1370;4,06;12304;8,7
430;Sidi Bouzid;43049;17,45;5616;16,66;48665;35,06
510;Gabes;6675;2,71;656;1,95;7331;5,02
520;Medenine;5481;2,22;843;2,5;6324;3,94
530;Tataouine;1982;0,8;405;1,2;2387;5,34
610;Gafsa;5506;2,23;946;2,81;6452;5,09
620;Tozeur;1563;0,63;178;0,53;1741;3,73
630;Kebili;2478;1;304;0,9;2782;3,88
;France1;2652;1,08;0;0;2652;3,88
;France2;5627;2,28;0;0;5627;9,98
;Italie;2683;1,09;0;0;2683;11,16
;Allemagne;1088;0,44;0;0;1088;8,07
;Amerique;0;0;0;0;0;0
;Monde arabe;653;0,26;0;0;653;3,31
;Total;246678;6,64;33704;5,72;280382;6,51
