District ID ;Electoral district ;Votes in actively registered PS;Ratio of total votes for the list in actively registered PS;Votes in automatically registered PS;Ratio of total votes for the list in automatically registered PS;Total  votes in the district;Ratio of total votes of the district
111;Tunis 1;14603;4,71;3690;8,69;18293;8,45
112;Tunis 2;21647;6,98;2649;6,24;24296;10,46
120;Ariana;15681;5,05;2120;4,99;17801;8,64
130;Ben Arous;23015;7,42;3089;7,27;26104;10,66
140;Manouba;11104;3,58;1184;2,79;12288;8,73
151;Nabeul 1;18261;5,88;2769;6,52;21030;11,61
152;Nabeul 2;15926;5,13;1837;4,32;17763;13,26
160;Zaghouan;2601;0,84;498;1,17;3099;4,66
170;Bizerte;13387;4,31;2145;5,05;15532;7,38
210;Beja;5880;1,89;954;2,25;6834;6,07
220;Jendouba;4834;1,56;768;1,81;5602;4,16
230;Kef;4695;1,51;651;1,53;5346;5,63
240;Siliana;3044;0,98;416;0,98;3460;4,42
310;Sousse;11286;3,64;1640;3,86;12926;5,11
320;Monastir;7905;2,55;928;2,18;8833;4,18
330;Mahdia;7145;2,3;1207;2,84;8352;5,94
341;Sfax 1;13292;4,28;899;2,12;14191;8,99
342;Sfax 2;24321;7,84;3778;8,89;28099;12,55
410;Kairouan;6631;2,14;950;2,24;7581;4,22
420;Kasserine;7332;2,36;864;2,03;8196;5,8
430;Sidi Bouzid;1975;0,64;177;0,42;2152;1,55
510;Gabes;12459;4,01;1317;3,1;13776;9,44
520;Medenine;12685;4,09;2353;5,54;15038;9,36
530;Tataouine;1142;0,37;273;0,64;1415;3,16
610;Gafsa;7697;2,48;1597;3,76;9294;7,33
620;Tozeur;1952;0,63;265;0,62;2217;4,75
630;Kebili;14631;4,71;3462;8,15;18093;25,21
;France1;8445;2,72;0;0;8445;12,35
;France2;5006;1,61;0;0;5006;8,88
;Italie;1230;0,4;0;0;1230;5,12
;Allemagne;2288;0,74;0;0;2288;16,97
;Amerique;5483;1,77;0;0;5483;19,32
;Monde arabe;2762;0,89;0;0;2762;13,99
;Total;310345;8,35;42480;7,21;352825;8,19
