District ID;Electoral district ;Votes in actively registered PS;Ratio of total votes for the list in actively registered PS;Votes in automatically registered PS;Ratio of total votes for the list in automatically registered PS;Total  votes in the district;Ratio of total votes of the district
111;Tunis  1;427;2,11;74;2,86;501;0,23
112;Tunis 2;276;1,36;29;1,12;305;0,13
120;Ariana;316;1,56;39;1,51;355;0,17
130;Ben Arous;1210;5,97;131;5,07;1341;0,55
140;Manouba;359;1,77;39;1,51;398;0,28
151;Nabeul 1;873;4,31;124;4,8;997;0,55
152;Nabeul 2;1609;7,94;162;6,27;1771;1,32
160;Zaghouan;471;2,33;106;4,1;577;0,87
170;Bizerte;447;2,21;70;2,71;517;0,25
210;Beja;467;2,31;86;3,33;553;0,49
220;Jendouba;1721;8,5;289;11,18;2010;1,49
230;Kef;593;2,93;54;2,09;647;0,68
240;Siliana;415;2,05;67;2,59;482;0,62
310;Sousse;0;0;0;0;0;0
320;Monastir;496;2,45;73;2,82;569;0,27
330;Mahdia;440;2,17;142;5,49;582;0,41
341;Sfax 1;0;0;0;0;0;0
342;Sfax 2;842;4,16;86;3,33;928;0,41
410;Kairouan;339;1,67;57;2,21;396;0,22
420;Kasserine;5184;25,59;574;22,21;5758;4,07
430;Sidi Bouzid;2312;11,41;191;7,39;2503;1,8
510;Gabes;317;1,56;22;0,85;339;0,23
520;Medenine;0;0;0;0;0;0
530;Tataouine;213;1,05;44;1,7;257;0,57
610;Gafsa;0;0;0;0;0;0
620;Tozeur;395;1,95;55;2,13;450;0,96
630;Kebili;535;2,64;71;2,75;606;0,84
;France1;0;0;0;0;0;0
;France2;0;0;0;0;0;0
;Italie;0;0;0;0;0;0
;Allemagne;0;0;0;0;0;0
;Amerique;0;0;0;0;0;0
;Monde arabe;0;0;0;0;0;0
;Total;20257;0,54;2585;0,44;22842;0,53
