District ID ;Electoral district ;Votes in actively registered PS;Ratio of total votes for the list in actively registered PS;Votes in automatically registered PS;Ratio of total votes for the list in automatically registered PS;Total  votes in the district ;Ratio of total votes of the district
111;Tunis 1;0;0;0;0;0;0
112;Tunis 2;2870;2,61;279;1,44;3149;1,36
120;Ariana;3217;2,93;418;2,16;3635;1,76
130;Ben Arous;2628;2,39;327;1,69;2955;1,21
140;Manouba;2033;1,85;207;1,07;2240;1,59
151;Nabeul 1;3474;3,16;543;2,81;4017;2,22
152;Nabeul 2;4203;3,83;518;2,68;4721;3,52
160;Zaghouan;2043;1,86;281;1,45;2324;3,5
170;Bizerte;0;0;0;0;0;0
210;Beja;1031;0,94;155;0,8;1186;1,05
220;Jendouba;923;0,84;129;0,67;1052;0,78
230;Kef;1121;1,02;99;0,51;1220;1,29
240;Siliana;0;0;0;0;0;0
310;Sousse;43289;39,4;9284;48,01;52573;20,8
320;Monastir;31300;28,49;4785;24,75;36085;17,08
330;Mahdia;6916;6,29;1965;10,16;8881;6,31
341;Sfax 1;1209;1,1;113;0,58;1322;0,84
342;Sfax 2;0;0;0;0;0;0
410;Kairouan;0;0;0;0;0;0
420;Kasserine;0;0;0;0;0;0
430;Sidi Bouzid;1459;1,33;99;0,51;1558;1,12
510;Gabes;1036;0,94;134;0,69;1170;0,8
520;Medenine;0;0;0;0;0;0
530;Tataouine;0;0;0;0;0;0
610;Gafsa;0;0;0;0;0;0
620;Tozeur;0;0;0;0;0;0
630;Kebili;0;0;0;0;0;0
;France1;0;0;0;0;0;0
;France2;1127;1,03;0;0;1127;2
;Italie;0;0;0;0;0;0
;Allemagne;0;0;0;0;0;0
;Amerique;0;0;0;0;0;0
;Monde arabe;0;0;0;0;0;0
;Total;109879;2,96;19336;3,28;129215;3
