District ID;Electoral district ;Votes in actively registered PSd;Ratio of total votes for the list in actively registered PS;Votes in automatically registered PS;Ratio of total votes for the list in automatically registered PS;Total  votes in the district;Ratio of total votes of the district
111;Tunis 1;78189;6,03;16645;8,26;94834;43,83
112;Tunis 2;58964;4,54;9167;4,55;68131;29,33
120;Ariana;60379;4,65;10791;5,36;71170;34,53
130;Ben Arous;88114;6,79;11375;5,65;99489;40,64
140;Manouba;47773;3,68;5684;2,82;53457;37,98
151;Nabeul 1;45961;3,54;7371;3,66;53332;29,44
152;Nabeul 2;32910;2,54;4140;2,06;37050;27,65
160;Zaghouan;17947;1,38;3338;1,66;21285;32,02
170;Bizerte;67511;5,2;13065;6,49;80576;38,27
210;Beja;25829;1,99;5041;2,5;30870;27,41
220;Jendouba;27725;2,14;5425;2,69;33150;24,6
230;Kef;20009;1,54;3004;1,49;23013;24,25
240;Siliana;17385;1,34;2750;1,37;20135;25,74
310;Sousse;72447;5,58;14143;7,02;86590;34,25
320;Monastir;57597;4,44;8203;4,07;65800;31,15
330;Mahdia;31718;2,44;9020;4,48;40738;28,96
341;Sfax 1;60713;4,68;5608;2,78;66321;42,02
342;Sfax 2;71127;5,48;10575;5,25;81702;36,5
410;Kairouan;59630;4,6;10761;5,34;70391;39,16
420;Kasserine;35905;2,77;5066;2,52;40971;28,98
430;Sidi Bouzid;18174;1,4;1676;0,83;19850;14,3
510;Gabes;66087;5,09;7251;3,6;73338;50,24
520;Medenine;61219;4,72;12097;6,01;73316;45,63
530;Tataouine;20707;1,6;4247;2,11;24954;55,77
610;Gafsa;39967;3,08;8725;4,33;48692;38,39
620;Tozeur;16270;1,25;2674;1,33;18944;40,62
630;Kebili;23834;1,84;3583;1,78;27417;38,2
;France1;22672;1,75;0;0;22672;33,15
;France2;15994;1,23;0;0;15994;28,38
;Italie;11627;0,9;0;0;11627;48,36
;Allemagne;5707;0,44;0;0;5707;42,32
;Amerique;8540;0,66;0;0;8540;30,09
;Monde arabe;8849;0,68;0;0;8849;44,81
;Total;1297480;34,91;201425;34,17;1498905;34,81
