District ID;Electoral district ;Votes in actively registered PS;Ratio of total votes for the list in actively registered PS;Votes in automatically registered PS;Ratio of total votes for the list in automatically registered PS;Total  votes in the district;Ratio of total votes of the district
111;Tunis 1;0;0;0;0;0;0
112;Tunis 2;0;0;0;0;0;0
120;Ariana;763;2,68;100;2,58;863;0,42
130;Ben Arous;1365;4,8;154;3,98;1519;0,62
140;Manouba;623;2,19;58;1,5;681;0,48
151;Nabeul 1;993;3,49;146;3,77;1139;0,63
152;Nabeul 2;0;0;0;0;0;0
160;Zaghouan;386;1,36;68;1,76;454;0,68
170;Bizerte;0;0;0;0;0;0
210;Beja;1674;5,89;211;5,45;1885;1,67
220;Jendouba;3064;10,78;542;14;3606;2,68
230;Kef;1857;6,53;185;4,78;2042;2,15
240;Siliana;1506;5,3;206;5,32;1712;2,19
310;Sousse;0;0;0;0;0;0
320;Monastir;1811;6,37;227;5,86;2038;0,96
330;Mahdia;646;2,27;140;3,62;786;0,56
341;Sfax 1;1392;4,9;181;4,68;1573;1
342;Sfax 2;757;2,66;93;2,4;850;0,38
410;Kairouan;1185;4,17;133;3,44;1318;0,73
420;Kasserine;2465;8,67;331;8,55;2796;1,98
430;Sidi Bouzid;1888;6,64;172;4,44;2060;1,48
510;Gabes;0;0;0;0;0;0
520;Medenine;2338;8,22;526;13,59;2864;1,78
530;Tataouine;0;0;0;0;0;0
610;Gafsa;1540;5,42;381;9,84;1921;1,51
620;Tozeur;222;0,78;17;0,44;239;0,51
630;Kebili;0;0;0;0;0;0
;France1;526;1,85;0;0;526;0,77
;France2;1067;3,75;0;0;1067;1,89
;Italie;367;1,29;0;0;367;1,53
;Allemagne;0;0;0;0;0;0
;Amerique;0;0;0;0;0;0
;Monde arabe;0;0;0;0;0;0
;Total;28435;0,77;3871;0,07;32306;0,75
