District ID;Electoral district ;Votes in actively registered PS;Ratio of total votes for the list in actively registered PS;Votes in automatically registered PS;Ratio of total votes for the list in automatically registered PS;Total  votes in the district;Ratio of total votes of the district
111;Tunis 1;3844;3,73;1102;10,86;4946;2,29
112;Tunis 2;17572;17,07;1145;11,29;18717;8,06
120;Ariana;12759;12,39;958;9,44;13717;6,66
130;Ben Arous;5684;5,52;593;5,84;6277;2,56
140;Manouba;2628;2,55;247;2,43;2875;2,04
151;Nabeul 1;4270;4,15;594;5,85;4864;2,68
152;Nabeul 2;3064;2,98;308;3,04;3372;2,52
160;Zaghouan;643;0,62;134;1,32;777;1,17
170;Bizerte;4740;4,6;753;7,42;5493;2,61
210;Beja;1759;1,71;220;2,17;1979;1,76
220;Jendouba;2916;2,83;462;4,55;3378;2,51
230;Kef;1601;1,56;129;1,27;1730;1,82
240;Seliana;1042;1,01;117;1,15;1159;1,48
310;Sousse;4102;3,98;450;4,44;4552;1,8
320;Monastir;3801;3,69;407;4,01;4208;1,99
330;Mahdia;2755;2,68;456;4,49;3211;2,28
341;Sfax 1;1631;1,58;92;0,91;1723;1,09
342;Sfax 2;2593;2,52;267;2,63;2860;1,28
410;Kairouan;1215;1,18;186;1,83;1401;0,78
420;Kasserine;2015;1,96;354;3,49;2369;1,68
430;Sidi Bouzid;998;0,97;141;1,39;1139;0,82
510;Gabes;1128;1,1;99;0,98;1227;0,84
520;Medenine;2473;2,4;312;3,08;2785;1,73
530;Tataouine;186;0,18;26;0,26;212;0,47
610;Gafsa;1705;1,66;329;3,24;2034;1,6
620;Tozeur;1251;1,22;185;1,82;1436;3,08
630;Kebili;608;0,59;80;0,79;688;0,96
;France1;5555;5,4;0;0;5555;8,12
;France2;3276;3,18;0;0;3276;5,81
;Italie;483;0,47;0;0;483;2,01
;Allemagne;923;0,9;0;0;923;6,84
;Amerique;2587;2,51;0;0;2587;9,11
;Monde arabe;1141;1,11;0;0;1141;5,78
;Total;102948;2,77;10146;1,72;113094;2,63
