District ID;Electoral district ;Votes in actively registered PS;Ratio of total votes for the list in actively registered PS;Votes in automatically registered PS;Ratio of total votes for the list in automatically registered PS;Total  votes in the district ;Ratio of total votes of the district
111;Tunis 1;1780;3,33;327;4,61;2107;0,97
112;Tunis 2;2567;4,8;236;3,32;2803;1,21
120;Ariana;1476;2,76;189;2,66;1665;0,81
130;Ben Arous;2850;5,32;318;4,48;3168;1,29
140;Manouba;1780;3,33;167;2,35;1947;1,38
151;Nabeul 1 ;3201;5,98;574;8,09;3775;2,08
152;Nabeul 2;2322;4,34;241;3,4;2563;1,91
160;Zaghouan;2118;3,96;297;4,18;2415;3,63
170;Bizerte;2090;3,9;319;4,49;2409;1,14
210;Beja;2038;3,81;329;4,64;2367;2,1
220;Jendouba;1519;2,84;268;3,78;1787;1,33
230;Kef;2098;3,92;252;3,55;2350;2,48
240;Siliana;3306;6,18;548;7,72;3854;4,93
310;Sousse;1873;3,5;226;3,18;2099;0,83
320;Monastir;2024;3,78;270;3,8;2294;1,09
330;Mahdia;1464;2,74;304;4,28;1768;1,26
341;Sfax 1;4747;8,87;586;8,26;5333;3,38
342;Sfax 2;2116;3,95;324;4,56;2440;1,09
410;Kairouan;2366;4,42;387;5,45;2753;1,53
420;Kasserine;2043;3,82;258;3,63;2301;1,63
430;Sidi Bouzid;1464;2,74;205;2,89;1669;1,2
520;Gabes;807;1,51;81;1,14;888;0,61
520;Medenine;1127;2,11;189;2,66;1316;0,82
530;Tataouine;142;0,27;43;0,61;185;0,41
610;Gafsa;0;0;0;0;0;0
620;Tozeur;314;0,59;33;0,46;347;0,74
630;Kebili;837;1,56;127;1,79;964;1,34
;France1;1806;3,37;0;0;1806;2,64
;France2;937;1,75;0;0;937;1,66
;Italie;0;0;0;0;0;0
;Allemagne;310;0,58;0;0;310;2,3
;Amerique;0;0;0;0;0;0
;Monde arabe;0;0;0;0;0;0
;Total;53522;1,44;7098;1,2;60620;1,41
