District ID;Electoral district ;Votes in actively registered PS;Ratio of total votes for the list in actively registered PS;Votes in automatically registered PS;Ratio of total votes for the list in automatically registered PS;Total  votes in the district ;Ratio of total votes of the district
111;Tunis 1;388;1,4;82;1,97;470;0,22
112;Tunis 2;246;0,89;36;0,87;282;0,12
120;Ariana;323;1,17;48;1,15;371;0,18
130;Ben Arous;754;2,73;103;2,48;857;0,35
140;Manouba;278;1,01;42;1,01;320;0,23
151;Nabeul 1;337;1,22;64;1,54;401;0,22
152;Nabeul 2;404;1,46;47;1,13;451;0,34
160;Zaghouan;265;0,96;61;1,47;326;0,49
170;Bizerte;8852;32,03;1501;36,09;10353;4,92
210;Beja;459;1,66;61;1,47;520;0,46
220;Jendouba;481;1,74;86;2,07;567;0,42
230;Kef;429;1,55;47;1,13;476;0,5
240;Siliana;496;1,79;73;1,76;569;0,73
310;Sousse;981;3,55;215;5,17;1196;0,47
320;Monastir;526;1,9;76;1,83;602;0,29
330;Mahdia;372;1,35;75;1,8;447;0,32
341;Sfax 1;600;2,17;56;1,35;656;0,42
342;Sfax 2;1789;6,47;269;6,47;2058;0,92
410;Kairouan;438;1,59;60;1,44;498;0,28
420;Kasserine;1079;3,9;123;2,96;1202;0,85
430;Sidi Bouzid;3256;11,78;461;11,08;3717;2,68
510;Gabes;820;2,97;80;1,92;900;0,62
520;Medenine;1105;4;236;5,67;1341;0,83
530;Tataouine;120;0,43;30;0,72;150;0,34
610;Gafsa;675;2,44;146;3,51;821;0,65
620;Tozeur;470;1,7;81;1,95;551;1,18
630;Kebili;0;0;0;0;0;0
;France1;435;1,57;0;0;435;0,64
;France2;729;2,64;0;0;729;1,29
;Italie;240;0,87;0;0;240;1
;Allemagne;129;0,47;0;0;129;0,96
;Amerique;0;0;0;0;0;0
;Monde arabe;158;0,57;0;0;158;0,8
;Total;27634;0,74;4159;0,71;31793;0,74
