District ID;Electoral district ;Votes in actively registered PS;Ratio of total votes for the list in actively registered PS;Votes in automatically registered PS;Ratio of total votes for the list in automatically registered PS;Total  votes in the district ;Ratio of total votes of the district
111;Tunis 1;5040;63,49;831;59,74;5871;2,71
112;Tunis 2;0;0;0;0;0;0
120;Ariana;0;0;0;0;0;0
130;Ben Arous;0;0;0;0;0;0
140;Manouba;221;2,78;23;1,65;244;0,17
151;Nabeul 1;0;0;0;0;0;0
152;Nabeul 2;0;0;0;0;0;0
160;Zaghouan;0;0;0;0;0;0
170;Bizerte;0;0;0;0;0;0
210;Beja;0;0;0;0;0;0
220;Jendouba;0;0;0;0;0;0
230;Kef;0;0;0;0;0;0
240;Siliana;516;6,5;74;5,32;590;0,75
310;Sousse;273;3,44;57;4,1;330;0,13
320;Monastir;566;7,13;113;8,12;679;0,32
330;Mahdia;548;6,9;202;14,52;750;0,53
341;Sfax 1;0;0;0;0;0;0
342;Sfax 2;0;0;0;0;0;0
410;Kairouan;774;9,75;91;6,54;865;0,48
420;Kasserine;0;0;0;0;0;0
430;Sidi Bouzid;0;0;0;0;0;0
510;Gabes;0;0;0;0;0;0
520;Medenine;0;0;0;0;0;0
530;Tataouine;0;0;0;0;0;0
610;Gafsa;0;0;0;0;0;0
620;Tozeur;0;0;0;0;0;0
530;Kebili;0;0;0;0;0;0
;France1;0;0;0;0;0;0
;France2;0;0;0;0;0;0
;Italie;0;0;0;0;0;0
;Allemagne;0;0;0;0;0;0
;Amerique;0;0;0;0;0;0
;Monde arabe;0;0;0;0;0;0
;Total;7938;0,21;1391;0,24;9329;0,22
