District ID;Electoral district ;Votes in actively registered PS;Ratio of total votes for the list in actively registered PS;Votes in automatically registered PS;Ratio of total votes for the list in automatically registered PS;Total  votes in the district;Ratio of total votes of the district
111;Tunis 1;27693;4,11;5855;4,33;33548;15,5
112;Tunis 2;31151;4,62;5051;3,73;36202;15,59
120;Ariana;24814;3,68;6393;4,73;31207;15,14
130;Ben Arous;31656;4,7;5251;3,88;36907;15,08
140;Manouba;22615;3,35;3651;2,7;26266;18,66
151;Nabeul 1;29747;4,41;7159;5,29;36906;20,37
152;Nabeul 2;22071;3,27;3664;2,71;25735;19,21
160;Zaghouan;13396;1,99;2982;2,2;16378;24,63
170;Bizerte;31183;4,63;7642;5,65;38825;18,44
210;Beja;23164;3,44;4489;3,32;27653;24,55
220;Jendouba;26821;3,98;4874;3,6;31695;23,52
230;Kef;21579;3,2;3644;2,69;25223;26,58
240;Siliana;17054;2,53;3951;2,92;21005;26,85
310;Sousse;33108;4,91;8435;6,24;41543;16,43
320;Monastir;36811;5,46;7261;5,37;44072;20,87
330;Mahdia;19932;2,96;7210;5,33;27142;19,3
341;Sfax 1;25888;3,84;3551;2,63;29439;18,65
342;Sfax 2;32722;4,85;6509;4,81;39231;17,53
410;Kairouan;28640;4,25;5460;4,04;34100;18,97
420;Kasserine;29216;4,33;5380;3,98;34596;24,47
430;Sidi Bouzid;21842;3,24;3148;2,33;24990;18,01
510;Gabes;16883;2,5;2090;1,55;18973;13
520;Medenine;23167;3,44;5196;3,84;28363;17,65
530;Tataouine;6079;0,9;1765;1,3;7844;17,53
610;Gafsa;29062;4,31;9361;6,92;38423;30,29
620;Tozeur;8909;1,32;1961;1,45;10870;23,31
630;Kebili;10460;1,55;2612;1,93;13072;18,21
;France1;10099;1,5;0;0;10099;14,76
;France2;10524;1,56;0;0;10524;18,67
;Italie;2595;0,38;714;0,53;3309;13,76
;Allemagne;1056;0,16;0;0;1056;7,83
;Amerique;2599;0,39;13;0,01;2612;9,2
;Monde arabe;1579;0,23;0;0;1579;8
;Total;674115;18,14;135272;22,95;809387;18,8
