District ID;Electoral district ;Votes in actively registered PS;Ratio of total votes for the list in actively registered PS;Votes in automatically registered PS;Ratio of total votes for the list in automatically registered PS;Total  votes in the district;Ratio of total votes of the district
111;Tunis 1;358;2,59;44;2,52;402;0,19
112;Tunis 2;3272;23,67;467;26,7;3739;1,61
120;Ariana;707;5,11;85;4,86;792;0,38
130;Ben Arous;5123;37,06;574;32,82;5697;2,33
140;Manouba;0;0;0;0;0;0
151;Nabeul 1;0;0;0;0;0;0
152;Nabeuln2;0;0;0;0;0;0
160;Zaghouan;0;0;0;0;0;0
170;Bizerte;639;4,62;95;5,43;734;0,35
210;Beja;888;6,42;157;8,98;1045;0,93
220;Jendouba;0;0;0;0;0;0
230;Kef;0;0;0;0;0;0
240;Siliana;0;0;0;0;0;0
310;Sousse;293;2,12;56;3,2;349;0,14
320;Monastir;0;0;0;0;0;0
330;Mahdia;0;0;0;0;0;0
341;Sfax 1;0;0;0;0;0;0
342;Sfax 2;0;0;0;0;0;0
410;Kairouan;210;1,52;34;1,94;244;0,14
420;Kasserine;664;4,8;90;5,15;754;0,53
430;Sidi Bouzid;1343;9,72;126;7,2;1469;1,06
510;Gabes;0;0;0;0;0;0
520;Medenine;0;0;0;0;0;0
530;Tataouine;0;0;0;0;0;0
610;Gafsa;0;0;0;0;0;0
620;Tozeur;123;0,89;21;1,2;144;0,31
630;Kebili;0;0;0;0;0;0
;France1;0;0;0;0;0;0
;France2;0;0;0;0;0;0
;Italie;203;1,47;0;0;203;0,84
;Allemagne;0;0;0;0;0;0
;Amerique;0;0;0;0;0;0
;Monde arabe;0;0;0;0;0;0
;Total;13823;0,37;1749;0,3;15572;0,36
