District ID;Electoral district ;Votes in actively registered PSVoluntarily registered;Ratio of total votes for the list in actively registered PS;Votes in automatically registered PS;Ratio of total votes for the list in automatically registered PS;Total  votes in the district;Ratio of total votes of the district
111;Tunis 1;21735;8,57;5492;17,16;27227;12,58
112;Tunis 2;38611;15,23;4449;13,9;43060;18,54
120;Ariana;24554;9,69;3016;9,42;27570;13,38
130;Ben Arous;26921;10,62;3321;10,37;30242;12,35
140;Manouba;9426;3,72;1006;3,14;10432;7,41
151;Nabeul 1;14365;5,67;2212;6,91;16577;9,15
152;Nabeul 2;9150;3,61;856;2,67;10006;7,47
160;Zaghouan;1870;0,74;347;1,08;2217;3,33
170;Bizerte;11446;4,51;1728;5,4;13174;6,26
210;Beja;5919;2,33;993;3,1;6912;6,14
220;Jendouba;7188;2,84;1070;3,34;8258;6,13
230;Kef;3999;1,58;421;1,32;4420;4,66
240;Siliana;2195;0,87;316;0,99;2511;3,21
310;Sousse;8925;3,52;1132;3,54;10057;3,98
320;Monastir;7004;2,76;858;2,68;7862;3,72
330;Mahdia;3617;1,43;667;2,08;4284;3,05
341;Sfax 1;6405;2,53;428;1,34;6833;4,33
342;Sfax 2;11550;4,56;1478;4,62;13028;5,82
410;Kairouan;3248;1,28;491;1,53;3739;2,08
420;Kasserine;2986;1,18;277;0,87;3263;2,31
430;Sidi Bouzid;1257;0,5;83;0,26;1340;0,97
510;Gabes;1650;0,65;110;0,34;1760;1,21
520;Medenine;3871;1,53;546;1,71;4417;2,75
530;Tataouine;613;0,24;107;0,33;720;1,61
610;Gafsa;1620;0,64;388;1,21;2008;1,58
620;Tozeur;960;0,38;139;0,43;1099;2,36
610;Kebili;571;0,23;79;0,25;650;0,91
;France1;7571;2,99;0;0;7571;11,07
;France2;4148;1,64;0;0;4148;7,36
;Italie;1304;0,51;0;0;1304;5,42
;Allemagne;1788;0,71;0;0;1788;13,26
;Amerique;4846;1,91;0;0;4846;17,07
;Monde arabe;2207;0,87;0;0;2207;11,18
;Total;253520;6,82;32010;5,43;285530;6,63
