District ID;Electoral district ;Votes in actively registered PS;Ratio of total votes for the list in actively registered PS;Votes in automatically registered PS;Ratio of total votes for the list in automatically registered PS;Total  votes in the district;Ratio of total votes of the district
111;Tunis 1;1392;3,27;330;3,67;1722;0,8
112;Tunis 2;1109;2,6;229;2,54;1338;0,58
120;Ariana;1027;2,41;283;3,14;1310;0,64
130;Ben Arous;0;0;0;0;0;0
140;Manouba;883;2,07;137;1,52;1020;0,72
151;Nabeul 1;0;0;0;0;0;0
152;Nabeul 2;1618;3,8;201;2,23;1819;1,36
160;Zaghouan;843;1,98;218;2,42;1061;1,6
170;Bizerte;1693;3,98;334;3,71;2027;0,96
210;Beja;1248;2,93;240;2,67;1488;1,32
220;Jendouba;1135;2,66;226;2,51;1361;1,01
230;Kef;1070;2,51;138;1,53;1208;1,27
240;Siliana;3871;9,09;585;6,5;4456;5,7
310;Sousse;4398;10,33;1128;12,53;5526;2,19
320;Monastir;2574;6,04;652;7,24;3226;1,53
330;Mahdia;2294;5,39;775;8,61;3069;2,18
341;Sfax 1;1132;2,66;169;1,88;1301;0,82
342;Sfax 2;1490;3,5;394;4,38;1884;0,84
410;Kairouan;1472;3,46;426;4,73;1898;1,06
420;Kasserine;2325;5,46;351;3,9;2676;1,89
430;Sidi Bouzid;773;1,81;92;1,02;865;0,62
510;Gabes;3166;7,43;416;4,62;3582;2,45
520;Medenine;1589;3,73;361;4,01;1950;1,21
530;Tataouine;677;1,59;237;2,63;914;2,04
610;Gafsa;2084;4,89;666;7,4;2750;2,17
620;Tozeur;1372;3,22;244;2,71;1616;3,47
630;Kebili;752;1,77;172;1,91;924;1,29
;France1;433;1,02;0;0;433;0,63
;France2;0;0;0;0;0;0
;Italie;0;0;0;0;0;0
;Allemagne;0;0;0;0;0;0
;Amerique;0;0;0;0;0;0
;Monde arabe;170;0,4;0;0;170;0,86
;Total;42590;1,15;9004;1,53;51594;1,2
